bin_low_MeV,bin_high_MeV,count
0.1,0.15848932,1433
0.15848932,0.25118864,213
0.25118864,0.39810717,159
0.39810717,0.63095734,177
0.63095734,1,104
1,1.5848932,99
1.5848932,2.5118864,100
2.5118864,3.9810717,101
3.9810717,6.3095734,96
6.3095734,10,85
10,15.848932,36
15.848932,25.118864,55
25.118864,39.810717,84
39.810717,63.095734,149
63.095734,100,867
100,158.48932,1812
158.48932,251.18864,973
251.18864,398.10717,426
398.10717,630.95734,220
630.95734,1000,60
1000,1584.8932,14
1584.8932,2511.8864,1
2511.8864,3981.0717,7
3981.0717,6309.5734,1
6309.5734,10000,2
10000,15848.932,0
15848.932,25118.864,1
25118.864,39810.717,0
39810.717,63095.734,0
63095.734,100000,0
100000,158489.32,0
158489.32,251188.64,0
251188.64,398107.17,0
398107.17,630957.34,0
630957.34,1000000,0
1000000,1584893.2,0
1584893.2,2511886.4,0
2511886.4,3981071.7,0
3981071.7,6309573.4,0
6309573.4,10000000,0
